n,r,m
(:Artwork {name: 秦琼、尉迟恭04}),[:USES],(:Technique {name: 精工细作})
(:Technique {name: 精工细作}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 秦琼、尉迟恭04}),[:SYMBOLIZES],(:Symbol {name: 迎福祉})
(:Artwork {name: 秦琼、尉迟恭04}),[:USES],(:Technique {name: 设色古雅沉厚})
(:Artwork {name: 秦琼、尉迟恭04}),[:IS_A],(:Attribute {name: 杨柳青门神画之珍品})
(:Artwork {name: 秦琼、尉迟恭04}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/4.%E7%A7%A6%E7%90%BC%E3%80%81%E5%B0%89%E8%BF%9F%E6%81%AD04-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 秦琼、尉迟恭05}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 秦琼、尉迟恭05}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 秦琼、尉迟恭05}),[:DEPICTS],(:Figure {name: 门神})
(:Technique {name: 版印笔绘}),[:HAS_STEP],(:Technique {name: 版印墨线})
(:Technique {name: 版印笔绘}),[:HAS_STEP],(:Technique {name: 彩绘})
(:Artwork {name: 秦琼、尉迟恭05}),[:USES],(:Technique {name: 勾线})
(:Artwork {name: 秦琼、尉迟恭05}),[:USES],(:Technique {name: 染色})
(:Artwork {name: 秦琼、尉迟恭05}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/5.%E7%A7%A6%E7%90%BC%E3%80%81%E5%B0%89%E8%BF%9F%E6%81%AD05-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 福寿天官}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/6.%E7%A6%8F%E5%AF%BF%E5%A4%A9%E5%AE%98-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 天官门神}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 天官门神}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 天官门神}),[:DEPICTS],(:Figure {name: 天官})
(:Figure {name: 天官}),[:DEPICTS],(:Object {name: 乌纱})
(:Figure {name: 天官}),[:DEPICTS],(:Object {name: 朝靴})
(:Figure {name: 天官}),[:DEPICTS],(:Object {name: 笏板})
(:Artwork {name: 天官门神}),[:DEPICTS],(:Object {name: 云纹})
(:Artwork {name: 天官门神}),[:BELONGS_TO_ERA],(:Technique {name: 满云})
(:Technique {name: 满云}),[:SYMBOLIZES],(:Symbol {name: 华丽和绚烂})
(:Artwork {name: 天官门神}),[:IS_A],(:Attribute {name: 传统杨柳青文门神的理想样式})
(:Person {name: 熟练的画师}),[:CREATED],(:Artwork {name: 天官门神})
(:Artwork {name: 天官门神}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/7.%E5%A4%A9%E5%AE%98%E9%97%A8%E7%A5%9E-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 送财童子}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 送财童子}),[:DEPICTS],(:Figure {name: 童子})
(:Artwork {name: 送财童子}),[:USES],(:Technique {name: 版印墨线})
(:Figure {name: 童子}),[:SYMBOLIZES],(:Symbol {name: 早生贵子})
(:Artwork {name: 送财童子}),[:DEPICTS],(:Object {name: 独轮车})
(:Artwork {name: 送财童子}),[:DEPICTS],(:Object {name: 金银财宝})
(:Object {name: 金银财宝}),[:SYMBOLIZES],(:Symbol {name: 发财多福})
(:Object {name: 独轮车}),[:SYMBOLIZES],(:Symbol {name: 推车进宝})
(:Person {name: 柴荣}),[:IS_A],(:Person {name: 五代后周皇帝})
(:Figure {name: 童子}),[:SYMBOLIZES],(:Symbol {name: 多子多财})
(:Figure {name: 童子}),[:SYMBOLIZES],(:Symbol {name: 子孙有成})
(:Artwork {name: 送财童子}),[:DEPICTS],(:Object {name: 如意})
(:Artwork {name: 送财童子}),[:DEPICTS],(:Object {name: 珊瑚})
(:Object {name: 如意}),[:SYMBOLIZES],(:Symbol {name: 如意})
(:Object {name: 珊瑚}),[:SYMBOLIZES],(:Symbol {name: 财富})
(:Figure {name: 持宝童子}),[:IS_A],(:Figure {name: 太子打扮})
(:Figure {name: 推车童子}),[:SYMBOLIZES],(:Symbol {name: 推车进宝})
(:Symbol {name: 推车进宝}),[:REFERENCES],(:Person {name: 柴荣})
(:Artwork {name: 送财童子}),[:SYMBOLIZES],(:Symbol {name: 多子多财})
(:Artwork {name: 送财童子}),[:SYMBOLIZES],(:Symbol {name: 子孙有成})
(:Artwork {name: 送财童子}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/8.%E9%80%81%E8%B4%A2%E7%AB%A5%E5%AD%90-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 麒麟送子}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 麒麟送子}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 麒麟送子}),[:DEPICTS],(:Figure {name: 骑麟童子})
(:Artwork {name: 麒麟送子}),[:DEPICTS],(:Figure {name: 举扇扎髻童子})
(:Artwork {name: 麒麟送子}),[:DEPICTS],(:Figure {name: 太子形象小童})
(:Artwork {name: 麒麟送子}),[:DEPICTS],(:Object {name: 太子冠})
(:Artwork {name: 麒麟送子}),[:DEPICTS],(:Object {name: 长命锁})
(:Artwork {name: 麒麟送子}),[:DEPICTS],(:Object {name: 锦衣绣服})
(:Artwork {name: 麒麟送子}),[:DEPICTS],(:Object {name: 笙})
(:Artwork {name: 麒麟送子}),[:DEPICTS],(:Object {name: 莲花})
(:Artwork {name: 麒麟送子}),[:DEPICTS],(:Object {name: 牡丹})
(:Artwork {name: 麒麟送子}),[:DEPICTS],(:Object {name: 书函})
(:Object {name: 笙}),[:SYMBOLIZES],(:Symbol {name: 生})
(:Object {name: 莲花}),[:SYMBOLIZES],(:Symbol {name: 连})
(:Object {name: 牡丹}),[:SYMBOLIZES],(:Symbol {name: 富贵})
(:Object {name: 书函}),[:SYMBOLIZES],(:Symbol {name: 玉书})
(:Figure {name: 骑麟童子}),[:SYMBOLIZES],(:Symbol {name: 麟儿})
(:Artwork {name: 麒麟送子}),[:SYMBOLIZES],(:Symbol {name: 麒麟送子})
(:Artwork {name: 麒麟送子}),[:SYMBOLIZES],(:Symbol {name: 连生贵子})
(:Artwork {name: 麒麟送子}),[:SYMBOLIZES],(:Symbol {name: 麟吐玉书})
(:Artwork {name: 麒麟送子}),[:DEPICTS],(:Object {name: 麒麟})
(:Object {name: 麒麟}),[:SYMBOLIZES],(:Symbol {name: 国家祥瑞太平})
(:Artwork {name: 麒麟送子}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/9.%E9%BA%92%E9%BA%9F%E9%80%81%E5%AD%90-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 福缘善庆}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 福缘善庆}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 福缘善庆}),[:DEPICTS],(:Figure {name: 童子})
(:Artwork {name: 福缘善庆}),[:DEPICTS],(:Object {name: 红蝠})
(:Artwork {name: 福缘善庆}),[:DEPICTS],(:Object {name: 圆橘})
(:Artwork {name: 福缘善庆}),[:DEPICTS],(:Object {name: 扇})
(:Artwork {name: 福缘善庆}),[:DEPICTS],(:Object {name: 长柄如意})
(:Artwork {name: 福缘善庆}),[:DEPICTS],(:Object {name: 磬})
(:Object {name: 红蝠}),[:SYMBOLIZES],(:Symbol {name: 福})
(:Object {name: 圆橘}),[:SYMBOLIZES],(:Symbol {name: 缘})
(:Object {name: 扇}),[:SYMBOLIZES],(:Symbol {name: 善})
(:Object {name: 磬}),[:SYMBOLIZES],(:Symbol {name: 庆})
(:Symbol {name: 福缘善庆}),[:REFERENCES],(:Document {name: 《千字文》})
(:Artwork {name: 福缘善庆}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/10.%E7%A6%8F%E7%BC%98%E5%96%84%E5%BA%86-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 摇钱树}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 摇钱树}),[:USES],(:Technique {name: 版印墨线})
(:Artwork {name: 摇钱树}),[:DEPICTS],(:Object {name: 聚宝盆})
(:Artwork {name: 摇钱树}),[:DEPICTS],(:Object {name: 摇钱树})
(:Artwork {name: 摇钱树}),[:DEPICTS],(:Figure {name: 嬉戏的小童})
(:Artwork {name: 摇钱树}),[:DEPICTS],(:Object {name: 钱串})
(:Artwork {name: 摇钱树}),[:DEPICTS],(:Object {name: 铜钱})
(:Artwork {name: 摇钱树}),[:DEPICTS],(:Figure {name: 童子})
(:Artwork {name: 摇钱树}),[:DEPICTS],(:Object {name: 兽皮云肩})
(:Artwork {name: 摇钱树}),[:DEPICTS],(:Object {name: 护腰})
(:Artwork {name: 摇钱树}),[:DEPICTS],(:Figure {name: 花袄童子})
(:Artwork {name: 摇钱树}),[:DEPICTS],(:Object {name: 流苏})
(:Artwork {name: 摇钱树}),[:DEPICTS],(:Object {name: 珊瑚枝})
(:Artwork {name: 摇钱树}),[:DEPICTS],(:Figure {name: 素袍童子})
(:Artwork {name: 摇钱树}),[:DEPICTS],(:Figure {name: 蝙蝠})
(:Artwork {name: 摇钱树}),[:DEPICTS],(:Object {name: 宝珠})
(:Object {name: 摇钱树}),[:SYMBOLIZES],(:Symbol {name: 获得财富})
(:Object {name: 聚宝盆}),[:SYMBOLIZES],(:Symbol {name: 获得财富})
(:Object {name: 铜钱}),[:SYMBOLIZES],(:Symbol {name: 天下太平})
(:Object {name: 铜钱}),[:SYMBOLIZES],(:Symbol {name: 五谷丰登})
(:Figure {name: 蝙蝠}),[:SYMBOLIZES],(:Symbol {name: 发福生财})
(:Object {name: 聚宝盆}),[:SYMBOLIZES],(:Symbol {name: 发福生财})
(:Person {name: 沈万三}),[:IS_A],(:Person {name: 沈万三})
(:Era {name: 东汉至魏晋南北朝时期}),[:BELONGS_TO_ERA],(:Era {name: 东汉至魏晋南北朝时期})
(:Artwork {name: 摇钱树}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/11.%E6%91%87%E9%92%B1%E6%A0%91-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 母子对屏}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 母子对屏}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 母子对屏}),[:DEPICTS],(:Figure {name: 母亲})
(:Artwork {name: 母子对屏}),[:DEPICTS],(:Figure {name: 小童})
(:Artwork {name: 母子对屏}),[:DEPICTS],(:Object {name: 帕})
(:Artwork {name: 母子对屏}),[:DEPICTS],(:Object {name: 水烟})
(:Artwork {name: 母子对屏}),[:DEPICTS],(:Object {name: 青蛛})
(:Artwork {name: 母子对屏}),[:DEPICTS],(:Object {name: 家具})
(:Artwork {name: 母子对屏}),[:DEPICTS],(:Object {name: 花器})
(:Artwork {name: 母子对屏}),[:DEPICTS],(:Object {name: 花卉})
(:Object {name: 青蛛}),[:SYMBOLIZES],(:Symbol {name: 送财})
(:Object {name: 青蛛}),[:SYMBOLIZES],(:Symbol {name: 掌握财运})
(:Object {name: 花卉}),[:SYMBOLIZES],(:Symbol {name: 吉祥})
(:Artwork {name: 母子对屏}),[:SYMBOLIZES],(:Symbol {name: 婚姻美满})
(:Artwork {name: 母子对屏}),[:SYMBOLIZES],(:Symbol {name: 早生贵子})
(:Artwork {name: 母子对屏}),[:SYMBOLIZES],(:Symbol {name: 封妻荫子})
(:Artwork {name: 母子对屏}),[:SYMBOLIZES],(:Symbol {name: 妻贤子贵})
(:Artwork {name: 母子对屏}),[:SYMBOLIZES],(:Symbol {name: 和睦美满})
(:Artwork {name: 母子对屏}),[:SYMBOLIZES],(:Symbol {name: 多子多孙})
(:Person {name: 送子天仙}),[:IS_A],(:Figure {name: 仙子})
(:Person {name: 麻姑}),[:IS_A],(:Figure {name: 仙子})
(:Artwork {name: 母子对屏}),[:REFERENCES],(:Document {name: 原始文本描述})
(:Artwork {name: 母子对屏}),[:IS_A],(:Artwork {name: 杨柳青年画细活代表作})
(:Artwork {name: 母子对屏}),[:CREATED],(:Person {name: 齐健隆})
(:Artwork {name: 母子对屏}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/12.%E6%AF%8D%E5%AD%90%E5%AF%B9%E5%B1%8F-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 仕女对屏}),[:BELONGS_TO_ERA],(:Era {name: 晚清民国时期})
(:Artwork {name: 仕女对屏}),[:DEPICTS],(:Figure {name: 少妇})
(:Artwork {name: 仕女对屏}),[:DEPICTS],(:Object {name: 几案})
(:Artwork {name: 仕女对屏}),[:DEPICTS],(:Object {name: 香炉})
(:Artwork {name: 仕女对屏}),[:DEPICTS],(:Object {name: 茶盏})
(:Artwork {name: 仕女对屏}),[:DEPICTS],(:Object {name: 座钟})
(:Artwork {name: 仕女对屏}),[:USES],(:Technique {name: 版印笔绘})
(:Person {name: 齐健隆}),[:CREATED],(:Artwork {name: 仕女对屏})
(:Object {name: 香炉}),[:SYMBOLIZES],(:Symbol {name: 富贵与恬淡})
(:Object {name: 茶盏}),[:SYMBOLIZES],(:Symbol {name: 富贵与恬淡})
(:Object {name: 座钟}),[:SYMBOLIZES],(:Symbol {name: 富贵与恬淡})
(:Figure {name: 少妇}),[:SYMBOLIZES],(:Symbol {name: 端庄得体、温婉贤淑})
(:Artwork {name: 仕女对屏}),[:DEPICTS],(:Object {name: 帕})
(:Artwork {name: 仕女对屏}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/13.%E4%BB%95%E5%A5%B3%E5%AF%B9%E5%B1%8F-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 母子图}),[:BELONGS_TO_ERA],(:Era {name: 民国})
(:Artwork {name: 母子图}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 母子图}),[:DEPICTS],(:Figure {name: 童子})
(:Artwork {name: 母子图}),[:DEPICTS],(:Figure {name: 母亲})
(:Artwork {name: 母子图}),[:DEPICTS],(:Object {name: 花盆})
(:Artwork {name: 母子图}),[:DEPICTS],(:Object {name: 牡丹})
(:Artwork {name: 母子图}),[:DEPICTS],(:Object {name: 帕})
(:Artwork {name: 母子图}),[:DEPICTS],(:Object {name: 花枝})
(:Artwork {name: 母子图}),[:DEPICTS],(:Object {name: 桂花})
(:Object {name: 桂花}),[:SYMBOLIZES],(:Symbol {name: 富贵})
(:Artwork {name: 母子图}),[:IS_A],(:Attribute {name: 一对门画之右幅})
(:Person {name: 廉增戴公记}),[:CREATED],(:Artwork {name: 门画（右幅）})
(:Artwork {name: 母子图}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/14.%E6%AF%8D%E5%AD%90%E5%9B%BE-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 《天官赐福》}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 《天官赐福》}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 《天官赐福》}),[:DEPICTS],(:Figure {name: 天官})
(:Artwork {name: 《天官赐福》}),[:DEPICTS],(:Figure {name: 童子})
(:Artwork {name: 《天官赐福》}),[:DEPICTS],(:Object {name: 乌纱帽})
(:Artwork {name: 《天官赐福》}),[:DEPICTS],(:Object {name: 官服})
(:Artwork {name: 《天官赐福》}),[:DEPICTS],(:Object {name: 横幅})
(:Artwork {name: 《天官赐福》}),[:DEPICTS],(:Object {name: 金元宝})
(:Artwork {name: 《天官赐福》}),[:DEPICTS],(:Object {name: 金马驹})
(:Artwork {name: 《天官赐福》}),[:DEPICTS],(:Object {name: 青龙})
(:Artwork {name: 《天官赐福》}),[:DEPICTS],(:Object {name: 鲜花})
(:Artwork {name: 《天官赐福》}),[:DEPICTS],(:Object {name: 牡丹})
(:Artwork {name: 《天官赐福》}),[:DEPICTS],(:Object {name: 荷花})
(:Object {name: 金元宝}),[:SYMBOLIZES],(:Symbol {name: 富贵荣华})
(:Object {name: 金马驹}),[:SYMBOLIZES],(:Symbol {name: 富贵荣华})
(:Object {name: 青龙}),[:SYMBOLIZES],(:Symbol {name: 富贵荣华})
(:Object {name: 牡丹}),[:SYMBOLIZES],(:Symbol {name: 富贵荣华})
(:Figure {name: 童子}),[:SYMBOLIZES],(:Symbol {name: 五子登科})
(:Artwork {name: 《天官赐福》}),[:REFERENCES],(:Document {name: 《梁元帝旨要》})
(:Artwork {name: 《天官赐福》}),[:IS_A],(:Category {name: 门画})
(:Artwork {name: 《天官赐福》}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/15.%E5%A4%A9%E5%AE%98%E8%B5%90%E7%A6%8F-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 连生贵子}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 连生贵子}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 连生贵子}),[:DEPICTS],(:Figure {name: 儿童})
(:Artwork {name: 连生贵子}),[:DEPICTS],(:Object {name: 笙})
(:Artwork {name: 连生贵子}),[:DEPICTS],(:Object {name: 金锁})
(:Artwork {name: 连生贵子}),[:DEPICTS],(:Object {name: 绣花兜肚})
(:Artwork {name: 连生贵子}),[:DEPICTS],(:Object {name: 莲花})
(:Artwork {name: 连生贵子}),[:DEPICTS],(:Object {name: 莲蓬})
(:Object {name: 莲花}),[:SYMBOLIZES],(:Symbol {name: 连生贵子})
(:Object {name: 笙}),[:SYMBOLIZES],(:Symbol {name: 连生贵子})
(:Person {name: 王逊}),[:IS_A],(:Attribute {name: 学者})
